Continent,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Asia,China,550771433,566170868,578489714,589018891,598746873,608359685,618226224,628412938,638727882,648794141,658270094,667084365,675641408,684909607,696171650,710290299,727601056,747678772,769666505,792308749,814622841,836431505,857804035,878305091,897479153,915040954,930744699,944726607,957584105,970179212,983170638,996667562,1010574797,1025090475,1040397958,1056579219,1073792041,1091904967,1110339206,1128297564,1145195229,1160799514,1175230312,1188687527,1201522570,1213986610,1226134423,1237849861,1249020152,1259476966,1269116737,1277903627,1285933789,1293396654,1300552134,1307593489,1314581402,1321481935,1328275524
Asia,India,371856500,378201181,384822769,391724533,398908212,406374020,414120476,422144572,430442283,439009418,447844159,456949783,466337036,476025147,486038945,496400381,507115411,518192403,529658233,541544619,553873890,566651479,579871075,593526633,607606569,622096682,636992593,652279308,667917437,683857312,700058589,716493309,733151769,750033539,767146806,784490842,802051806,819800055,837699675,855707358,873785449,891910180,910064576,928226051,946373316,964486155,982553253,1000558144,1018471141,1036258683,1053898107,1071374264,1088694080,1105885689,1122991192,1140042863,1157038539,1173971629,1190863679
North America,United States,157813040,160024871,162530196,165260027,168152385,171152291,174211875,177290268,180353310,183373044,186326215,189192675,191953977,194592775,197094531,199452508,201657141,203717833,205672498,207573866,209463865,211355529,213250350,215164616,217113584,219108358,221161377,223274855,225436004,227624232,229825004,232035086,234261242,236510688,238794274,241119752,243495805,245920994,248381577,250857751,253339097,255807342,258275919,260803255,263468980,266323717,269393632,272643340,275986072,279300030,282496310,285544778,288467308,291290823,294063120,296820296,299564470,302284564,304989064
Asia,USSR,179570837,182677438,185855870,188960538,192171246,195612673,199102595,202604165,206200603,209927781,213779936,217618270,221227180,224585401,227697970,230512995,233139090,235629795,237983436,240252698,242478113,244886536,247343292,249712380,252110639,254518689,256882729,259225085,261524905,263750613,265935636,268142258,270418758,272856014,275379897,277873515,280369405,282805060,285120160,286578215,288544755,290113614,291118372,291429616,291345858,291150213,290875610,290527071,290173084,289692659,289112747,288520632,287977722,287600977,287360520,287263911,287266522,287330757,287447373
Asia,Indonesia,74837310,75978352,77258010,78674341,80223922,81901847,83701632,85615311,87633748,89747149,91946612,94225771,96582241,99018230,101538797,104146696,106839814,109612753,112461009,115379062,118361740,121405753,124507744,127662293,130863441,134105926,137382075,140688052,144026720,147403681,150820044,154275429,157758440,161245684,164706919,168119209,171472345,174767379,178006800,181197879,184345939,187451800,190512441,193525648,196488446,199400339,202257039,205063468,207839287,210610776,213395411,216203499,219026365,221839235,224606531,227303175,229918547,232461746,234951154
South America,Brazil,53974725,55669001,57422674,59215974,61036582,62879616,64748101,66652501,68609363,70639029,72758801,74975656,77279855,79642214,82021855,84388983,86735163,89068235,91394916,93727990,96078304,98445131,100828667,103242395,105703409,108224080,110804816,113442106,116138507,118895875,121711864,124588432,127514673,130459023,133380123,136246764,139049440,141791325,144470377,147088677,149650206,152146887,154582103,156985824,159398558,161848162,164342524,166869168,169409713,171936271,174425387,176877135,179289227,181633074,183873377,185986964,187958211,189798070,191543237
Asia,Pakistan,37542380,38147097,38809200,39525185,40292359,41108839,41973583,42886361,43847662,44858549,45920204,47033454,48198347,49413973,50678979,51993059,53359180,54780499,56257610,57790852,59382651,61033754,62751275,64551904,66456937,68482526,70632133,72904319,75303460,77832927,80492664,83280137,86187238,89200001,92300277,95470380,98710951,102011892,105332464,108621443,111844679,114970102,118010303,121029915,124121817,127346713,130737306,134255952,137808222,141261069,144522192,147557907,150407242,153139895,155860066,158645463,161513324,164445596,167442258
Africa,Nigeria,37859746,38508635,39203265,39936661,40703560,41500415,42325458,43178636,44061400,44976361,45926253,46912826,47935878,48992838,50079946,51195706,52341981,53524049,54748444,56023503,57357275,58745411,60191508,61720304,63363756,65141058,67067499,69127157,71269619,73424869,75543388,77604166,79623647,81635550,83691577,85828707,88057486,90363921,92731304,95133496,97552057,99986136,102444773,104931559,107452627,110014688,112618306,115268715,117983368,120784408,123688536,126704722,129832447,133067097,136399438,139823340,143338939,146951477,150665730
Asia,Bangladesh,37894678,39112507,40207573,41257838,42322978,43444382,44644395,45927072,47280463,48680410,50101943,51531438,52977254,54474293,56071080,57791778,59681186,61702785,63703327,65474474,66881158,67849312,68461849,68933357,69567500,70582168,72053923,73915723,76066342,78342736,80624423,82883616,85156396,87459802,89828434,92283598,94825499,97429290,100062322,102681627,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300
Asia,Japan,82199470,83794117,85174302,86377203,87437837,88389061,89261611,90084066,90882709,91681328,92500572,93357272,94263847,95228052,96253698,97342773,98495891,99712724,100990902,102326089,103710287,105145914,106619818,108089192,109498615,110808090,111996339,113071149,114057650,114996088,115914688,116823958,117711145,118554190,119320901,119990547,120553260,121023579,121434677,121832924,122251184,122703017,123177552,123653405,124097649,124486744,124814986,125091571,125325617,125531619,125720310,125893623,126048366,126184149,126299414,126392944,126464789,126515486,126544640
