word,count
jackerhack,95
ttwitugq,80
livestream,63
talk,61
watching,60
who's,52
anyway,51
tomorrow,47
live,45
hasgeek,41
day,38
hsivaram,34
streaming,33
today,31
one,30
great,29
online,29
watch,28
we're,28
hall,27
awesome,25
conference,25
guys,24
demo,24
india,23
zainabbawa,22
looking,22
love,21
coming,21
javascript,21
bangalore,21
super,21
bangalorejs,20
raspberry,20
ashfame,20
beer,20
multunus,19
biggest,19
session,19
web,19
jsfooindia,19
rakesh314,18
going,18
geek,18
android,18
using,18
time,18
would,17
give,17
got,17
running,17
firefox,17
node,17
fast,16
it's,16
createjs,15
looks,15
like,15
forward,15
i'm,14
good,14
internet,14
come,14
theparida,14
zqwjflua,13
basically,13
varunkumar,13
spreading,13
news,13
typescript,13
conf,13
errorception,13
windows,13
code,12
robot,12
coding,12
lot,12
car,12
table,12
people,12
start,12
talks,11
cool,11
stream,11
get,11
arduino,11
device,11
fun,11
thanks,11
yuvipanda,10
attended,10
attending,10
first,10
netroy,10
see,10
he's,10
big,10
back,10
anupam,9
smartphone,9
sessions,9
4th,9
rather,9
lunch,9
really,9
shreyankg,9
worldwide,9
microsoft,9
folks,9
keynote,9
pai,9
downloads,9
server,9
xjwb0yl0,9
twitter,9
audi,9
apps,9
wifi,9
7mbps,8
downlink,8
experience,8
karthikdot,8
30mbps,8
nimhans,8
flipkart,8
miss,8
uplink,8
shameerc,8
woah,8
nodejs,8
makes,8
buctik,8
selvan,8
j34rwrag,8
nice,8
reached,8
ticket,7
harry,7
guy,7
kudos,7
singing,7
next,7
apnerve,7
thank,7
done,7
canvas,7
launch,7
kitna,7
welcome,7
thai,7
mins,7
sistalam,7
best,7
superb,7
speaker,7
promising,7
rakesh314's,7
solve,7
dethi,7
audience,7
rakesh,7
puzzle,7
info,7
check,7
storage,7
phoenixwizard,7
pande,6
giving,6
met,6
active,6
win,6
app,6
parties,6
work,6
sphere,6
sajanjohn,6
sreeix,6
teambtt,6
engaging,6
pigeon,6
season,6
loved,6
sure,6
vist,6
nitin,6
mobile,6
enjoyed,6
ssh,6
bar,6
ciju,6
speak,6
java,6
much,6
extreme,6
rocking,6
shirt,6
0qgclcjs,6
gonna,6
home,6
stage,6
right,6
sports,6
happy,6
showtime,6
interested,6
backbone,6
porn,5
'day2',5
extra,5
vigneshv,5
dam,5
always,5
event,5
could,5
onto,5
anyone,5
convention,5
slides,5
kind,5
mbps,5
speakers,5
proud,5
tech,5
show,5
finally,5
trust,5
freaking,5
bad,5
stuff,5
around,5
missing,5
make,5
totally,5
aakashlpin,5
real,5
emergency,5
psg,5
tutorial,5
jsfoo',5
official,5
spidermonkey,4
opensource,4
heaven,4
cable,4
heading,4
slow,4
meet,4
mumbaijs,4
viz,4
geeks,4
helps,4
gthandavam,4
unwinding,4
iframe,4
something,4
stole,4
threepointone,4
bsnl,4
chennaijs,4
tweets,4
hop,4
connect,4
lazers,4
feel,4
another,4
moar,4
tee,4
jquery,4
future,4
browser,4
anenth,4
built,4
80fbnhcs,4
hope,4
runs,4
touch,4
apologies,4
useful,4
many,4
personal,4
connection,4
can't,4
nmanojk,4
sadcookie,4
fibre,4
delight,4
uses,4
center,4
creators,4
justify,4
less,4
seems,4
excited,4
read,4
absolutely,4
way,4
test,4
network,4
building,4
depth,4
oss,3
i18n,3
worth,3
sponsors,3
s3lbdnrs,3
button,3
video,3
roof,3
frameworks,3
version,3
new,3
ever,3
tags,3
bot,3
internationalizing,3
santhoshtr,3
post,3
yomen,3
share,3
sanooj,3
join,3
want,3
amazing,3
instead,3
long,3
date,3
ershus,3
interesting,3
better,3
2012,3
scaling,3
side,3
heavy,3
kpdnx0fr,3
adobe,3
frames,3
forgot,3
happen,3
try,3
missed,3
dhavaltrivedi,3
guess,3
free,3
round,3
you're,3
toy,3
checked,3
fascinating,3
drool,3
saw,3
yuvi,3
build,3
drive,3
buildpipeline,3
hack,3
data,3
shl3u424,3
1eucewdu,3
available,3
paul,3
recording,3
lots,3
please,3
libraries,3
across,3
wheels,3
shout,3
damn,3
rehearsing,3
finished,3
deferred,3
listen,3
site,3
funny,3
3mb,3
things,3
used,3
animations,3
laptop,3
fact,3
also,3
wikimedia,3
boom,3
know,3
deployment,3
contributing,3
epic,3
exciting,3
amanmohla,3
bhashkarsharma,3
suggestions,3
vamsee,3
continuousdelivery,3
enough,3
irish,3
drivers,3
developers,3
update,3
in2,3
jenkins,3
presenting,3
push,3
ashwan,3
raining,2
ycyoa6f9,2
tweet,2
spirit,2
dont,2
program,2
webos,2
fan,2
underscore,2
standards,2
20th,2
attracting,2
spoileralert,2
second,2
panda,2
fingers,2
oct,2
waiting,2
abt,2
marketing,2
learned,2
appeal,2
ydn,2
yuilibrary,2
water,2
based,2
tdd,2
change,2
wait,2
technical,2
api,2
names,2
1st,2
yeomen,2
use,2
creativejs,2
kracetheking,2
memory,2
qsptxuyq,2
yahoo,2
ankit,2
abhinav,2
language,2
following,2
history,2
streamed,2
process,2
shary,2
adheerajkumar,2
decides,2
khullar,2
thing,2
write,2
css,2
spot,2
html5rocks,2
wrong,2
iyq6zcw2,2
short,2
shashwat,2
ideaswired,2
six,2
feedback,2
don't,2
9kw9nz0f,2
soon,2
ustream,2
won't,2
hell,2
mail,2
indexeddb,2
nfc,2
went,2
venue,2
rakeshpai,2
lovers,2
'test,2
doesn't,2
management,2
crockford,2
r0zc0pwf,2
starts,2
programming,2
yui,2
netkgcbo,2
question,2
encouraging,2
o1wv1qp6,2
localstorage,2
script,2
wonderful,2
tilak,2
believe,2
lenovo,2
raspberrypi,2
college,2
feeling,2
sublime,2
sujaykrishna,2
say,2
lurking,2
seen,2
min,2
self,2
answering,2
note,2
mix,2
centre,2
deferrends,2
model,2
socializing,2
broadcast,2
came,2
walking,2
outside,2
black,2
vparihar,2
pretty,2
touchscreen,2
handle,2
downpour,2
feels,2
restart,2
morning,2
fault,2
kqxth4qt,2
discussing,2
setup,2
bunch,2
gklst,2
dumb,2
sport,2
wow,2
knowing,2
hah,2
facepalm,2
fcsugpk4,2
article,2
last,2
presentations,2
games,2
committe,2
ravi,2
xkcd,2
powered,2
create,2
months,2
5yqqdhqv,2
moved,2
wake,2
covered,2
look,2
compile,2
arunprasath,2
hoping,2
ready,2
stickers,2
html,2
wheel,2
levels,2
deltaxplatform,2
nodetoolbox,2
awesomeness,2
well,2
thought,2
person,2
without,2
rajasekharan,2
gaptun,2
previous,2
lets,2
early,2
hasgeek's,2
webstorage,2
1oxnn19p,2
works,2
page,2
auditorium,2
maxogden,2
couldn't,2
attend,2
development,2
registrations,2
events,2
everything,2
pls,2
reaching,2
robots,2
sudarmuthu,2
yay,2
getting,2
prepping,2
pair,2
ppt,2
fruitful,2
lesson,2
house,2
exceptional,2
ago,2
inches,2
idea,2
va3gadn1,2
made,2
inside,2
nikhilkuruvilla,2
later,2
single,2
intro,2
mostly,2
firebug,2
pis,2
sassyboy,2
jaseemabid,2
repeat,2
stay,2
else,2
tweeting,2
lineup,2
haricm,1
wire,1
bhatt,1
samething,1
follow,1
ror,1
balajinix,1
9bsmt6s7,1
inspire,1
html5,1
young,1
ijvl31dt,1
ragbfciu,1
humility,1
uploaded,1
shaju,1
fav,1
liability,1
impressive,1
presented,1
underscores,1
upload,1
anxious,1
indexdb,1
cookies,1
talked,1
says,1
you'd,1
ybtatn4z,1
shreyank,1
sreechand,1
arjunkumartk,1
sync,1
fabulous,1
lg9hx1pi,1
drinks,1
even,1
iay8wtcv,1
appear,1
deeply,1
aotokp06,1
access,1
disney,1
told,1
simultaneously,1
fwd,1
pushing,1
jasmine,1
i31claup,1
let,1
metro,1
changed,1
taped,1
ubuntufreak,1
products,1
emulator,1
thatz,1
mshabeer,1
via,1
hectic,1
suddenly,1
highly,1
mid,1
sockets,1
dude,1
two,1
jam,1
call,1
https,1
selvam,1
preview,1
club,1
company,1
aware,1
controlling,1
mozilla,1
flawless,1
glad,1
must,1
respected,1
heard,1
avoiding,1
ride,1
kickass,1
believes,1
campusdiaries,1
v1pl,1
dev,1
learn,1
making,1
movingahead,1
example,1
jaydeep,1
woooooo,1
mongo,1
liib,1
confused,1
implementations,1
chennai,1
prod,1
hoo,1
demoing,1
feature,1
ish,1
pure,1
actionscript,1
moron,1
speaks,1
shirts,1
awesomest,1
indian,1
end,1
man,1
remember,1
register,1
deserted,1
switch,1
everyone,1
ksjliah5,1
every,1
volunteers,1
opportunity,1
webgl,1
that's,1
office,1
move,1
biberli,1
affect,1
cold,1
still,1
developer,1
xfucikhs,1
style,1
r1thi1wj,1
fix,1
abhishekkant,1
arrangements,1
parts,1
ktlyepua,1
haven't,1
cleanly,1
food,1
safe,1
mocha,1
bdlrfukx,1
drop,1
rocks,1
abhiomkar,1
viewing,1
debug,1
cyclotrojan,1
eagerly,1
hiccups,1
energy,1
sloj6juf,1
yeah,1
catching,1
2h9wwdtk,1
hashgeek,1
driving,1
sreenathnannat,1
winjs,1
since,1
day1,1
swapnil,1
seriously,1
hyderabad,1
managed,1
shows,1
micromax,1
angular,1
hv7tbfwk,1
friday,1
ubnfwqwf,1
forcefully,1
ask,1
shot,1
abhidsm,1
youprefer,1
turn,1
mvc,1
place,1
s98nvwyh,1
programme,1
think,1
lat8wank,1
ironman,1
features,1
walkthrough,1
jstestdriver,1
impossible,1
fight,1
given,1
caught,1
thoughts,1
bits,1
speaking,1
editor,1
testing,1
shorts,1
nobody,1
hitching,1
part,1
appreciated,1
o9nlroka,1
hoixyccl,1
audis,1
matter,1
maybe,1
restful,1
mvvm,1
gals,1
ran,1
premier,1
turned,1
fucking,1
talking,1
tables,1
mishra,1
need,1
devs,1
able,1
couch,1
kgrz,1
i9q4qcxw,1
yyuummmyyyy,1
links,1
track,1
livescript,1
reach,1
involving,1
significant,1
fe6dyvjk,1
takes,1
room,1
enthusiastic,1
doe,1
graphs,1
regards,1
akshaysurve,1
event's,1
left,1
tron,1
saga,1
cheap,1
biere,1
current,1
layout,1
knowledge,1
paranoid,1
upvote,1
ruq663j1,1
observation,1
hangover,1
wearing,1
begins,1
express,1
satisfied,1
clumsiness,1
words,1
bofh,1
banner,1
resuce,1
qvtpktjj,1
brialliant,1
monopoly,1
your's,1
reviving,1
boring,1
release,1
agam's,1
spotted,1
btw,1
art,1
reference,1
twss,1
j4tovyia,1
advertised,1
startup,1
torrents,1
bmh1ubbi,1
said,1
learnt,1
pattern,1
eeuz4rdj,1
written,1
won,1
ashokbanerjee,1
probably,1
gonsalves,1
wears,1
component,1
screen,1
job,1
ltmmltil,1
relying,1
coupons,1
improve,1
hours,1
deferreds,1
agamlive,1
vishnuvram,1
glory,1
buzz,1
interactive,1
e670xwnx,1
con,1
rungta,1
mix49mly,1
simple,1
dpmy8lwt,1
learning,1
cancel,1
late,1
dqt8m4a7,1
mention,1
asks,1
chrome,1
wriju,1
wants,1
mike,1
snmkzhtc,1
bulk,1
hmm,1
misbehaving,1
kicks,1
ruby,1
former,1
y'day,1
launches,1
air,1
evening,1
expecting,1
voice,1
kpkg1wmx,1
coolest,1
funbook,1
fnlhzsaf,1
almost,1
praising,1
hardware,1
mallu,1
different,1
churn,1
perhaps,1
wiring,1
lamsnmcv,1
qtcv1obp,1
windows8,1
somewhere,1
alert,1
cuttherope,1
tune,1
ooneyaba,1
congregated,1
older,1
calicut,1
anybody,1
lappy,1
y6dgyrqr,1
k308p2ao,1
ws2qd3qs,1
gm53johy,1
ideas,1
world,1
internationalization,1
yes,1
begin,1
unable,1
stopping,1
discuss,1
source,1
ie10,1
samples,1
kwouowvr,1
smart,1
lame,1
showing,1
working,1
background,1
bloody,1
color,1
ditto,1
weekday,1
chairs,1
plane,1
ramayan,1
informative,1
fully,1
popular,1
async,1
security,1
qy91ox1m,1
honored,1
crowd,1
hacks,1
examples,1
mean,1
